img_rmbg_path,tsne-0,tsne-1
/home/put_data/moth/data/whole_crop/A37-20150812-114.png,15.386225,-69.0971
/home/put_data/moth/data/whole_crop/V11-20131109-087.png,-35.318295,51.82632
/home/put_data/moth/data/whole_crop/A32-20111226-022.png,-2.687779,39.922905
/home/put_data/moth/data/whole_crop/V24-20160312-018.png,-12.254303,-50.7811
/home/put_data/moth/data/whole_crop/A39-20130807-030.png,-42.61758,-33.422844
/home/put_data/moth/data/whole_crop/V02-20140303-075.png,-19.08524,-49.51433
/home/put_data/moth/data/whole_crop/V10-20150116-018.png,-0.8606354,-58.34454
/home/put_data/moth/data/whole_crop/V10-20150116-093.png,21.267065,-80.902176
/home/put_data/moth/data/whole_crop/A38-20140728-062.png,26.935831,22.573038
/home/put_data/moth/data/whole_crop/V10-20150116-028.png,24.231617,9.733233
/home/put_data/moth/data/whole_crop/V15-20150418-063.png,25.627567,-29.191298
/home/put_data/moth/data/whole_crop/V17-20140503-057.png,16.36514,8.801299
/home/put_data/moth/data/whole_crop/V23-20151016-021.png,17.777256,-20.521326
/home/put_data/moth/data/whole_crop/V05-20130809-027.png,3.6099696,-29.95862
/home/put_data/moth/data/whole_crop/V22-20151106-041.png,10.436877,-42.619244
/home/put_data/moth/data/whole_crop/V02-20130603-013.png,16.497255,6.0969887
/home/put_data/moth/data/whole_crop/A38-20150518-110.png,23.976274,-47.675697
/home/put_data/moth/data/whole_crop/A38-20140728-012.png,24.74693,39.268764
/home/put_data/moth/data/whole_crop/A38-20140325-076.png,38.771496,22.867624
/home/put_data/moth/data/whole_crop/A48-20150512-197.png,16.05498,50.779346
/home/put_data/moth/data/whole_crop/A46-20160223-122.png,13.909587,-3.7765033
/home/put_data/moth/data/whole_crop/V26-20160422-001.png,-53.55762,-2.6815214
/home/put_data/moth/data/whole_crop/V21-20150815-016.png,19.33553,-55.490326
/home/put_data/moth/data/whole_crop/V18-20160701-010.png,-18.99704,-49.798603
/home/put_data/moth/data/whole_crop/V10-20140221-030.png,-17.305233,5.217037
/home/put_data/moth/data/whole_crop/V22-20160417-021.png,23.212885,-48.90768
/home/put_data/moth/data/whole_crop/V18-20160506-014.png,33.351902,-52.80448
/home/put_data/moth/data/whole_crop/A34-20140826-093.png,37.98307,23.850067
/home/put_data/moth/data/whole_crop/A35-20151014-161.png,-0.24543327,-41.768433
/home/put_data/moth/data/whole_crop/V03-20130409-022.png,-22.622572,38.37
/home/put_data/moth/data/whole_crop/V13-20130928-086.png,9.753459,-83.58562
/home/put_data/moth/data/whole_crop/A37-20151016-161.png,-2.0826771,-24.636787
/home/put_data/moth/data/whole_crop/V20-20160603-092.png,-8.889234,-7.4351735
/home/put_data/moth/data/whole_crop/A35-20160111-007.png,6.1450095,-37.644848
/home/put_data/moth/data/whole_crop/V10-20140822-085.png,-6.5977306,22.10219
/home/put_data/moth/data/whole_crop/A35-20130417-055.png,-15.891315,-60.569843
/home/put_data/moth/data/whole_crop/A37-20151016-048.png,10.84465,-59.172554
/home/put_data/moth/data/whole_crop/V03-20141127-005.png,-36.58708,32.585976
/home/put_data/moth/data/whole_crop/V15-20150418-020.png,20.802458,8.105277
/home/put_data/moth/data/whole_crop/V22-20160608-085.png,20.083675,20.820467
/home/put_data/moth/data/whole_crop/V03-20140303-021.png,-3.9491231,48.680187
/home/put_data/moth/data/whole_crop/V22-20150424-044.png,-12.05224,-32.624557
/home/put_data/moth/data/whole_crop/A48-20150318-059.png,25.01744,59.921337
/home/put_data/moth/data/whole_crop/V23-20150515-002.png,28.213362,-82.63459
/home/put_data/moth/data/whole_crop/V10-20140530-103.png,13.102442,-18.243095
/home/put_data/moth/data/whole_crop/V11-20130608-001.png,21.322693,60.017384
/home/put_data/moth/data/whole_crop/A35-20160502-137.png,6.5746455,45.700714
/home/put_data/moth/data/whole_crop/A35-20160307-128.png,16.900665,7.0913463
/home/put_data/moth/data/whole_crop/V10-20140221-004.png,-2.6770887,-19.899395
/home/put_data/moth/data/whole_crop/V05-20140226-009.png,-17.680283,5.30753
/home/put_data/moth/data/whole_crop/V15-20150516-036.png,-1.0463502,-7.655136
/home/put_data/moth/data/whole_crop/V04-20140530-267.png,-18.86555,39.560925
/home/put_data/moth/data/whole_crop/A34-20151209-089.png,2.608938,39.86523
/home/put_data/moth/data/whole_crop/V11-20130810-184.png,23.940437,45.29052
/home/put_data/moth/data/whole_crop/V06-20150911-003.png,3.5803301,15.936507
/home/put_data/moth/data/whole_crop/A35-20151014-171.png,-4.760772,-41.991203
/home/put_data/moth/data/whole_crop/V24-20160618-009.png,0.25441957,-26.481653
/home/put_data/moth/data/whole_crop/V15-20140101-064.png,-3.7681556,-38.958076
/home/put_data/moth/data/whole_crop/V13-20150109-040.png,-28.70164,47.80832
/home/put_data/moth/data/whole_crop/A35-20150811-107.png,-15.611304,-15.133943
/home/put_data/moth/data/whole_crop/V12-20140413-066.png,-37.13482,34.22678
/home/put_data/moth/data/whole_crop/V12-20130628-015.png,-30.065891,47.59183
/home/put_data/moth/data/whole_crop/A52-20151110-213.png,-44.261024,39.868687
/home/put_data/moth/data/whole_crop/V27-20160319-023.png,-45.203182,25.88417
/home/put_data/moth/data/whole_crop/V03-20130409-166.png,-22.426847,42.151493
/home/put_data/moth/data/whole_crop/V23-20150726-008.png,-21.127415,-17.98597
/home/put_data/moth/data/whole_crop/V21-20160507-014.png,12.169505,3.8849957
/home/put_data/moth/data/whole_crop/V02-20140101-077.png,13.204495,-45.71581
/home/put_data/moth/data/whole_crop/V18-20160111-009.png,-6.0889454,-54.228233
/home/put_data/moth/data/whole_crop/V17-20150131-029.png,13.74294,41.553356
/home/put_data/moth/data/whole_crop/V03-20140917-046.png,38.880882,8.068148
/home/put_data/moth/data/whole_crop/V28-20160509-003.png,-17.10569,47.345398
/home/put_data/moth/data/whole_crop/V02-20130930-038.png,-17.158325,-61.816757
/home/put_data/moth/data/whole_crop/V12-20131128-096.png,-18.25094,42.69222
/home/put_data/moth/data/whole_crop/V16-20140117-032.png,-18.236122,-50.475735
/home/put_data/moth/data/whole_crop/V12-20130528-187.png,-56.56677,-2.8777616
/home/put_data/moth/data/whole_crop/V15-20140926-029.png,3.1276786,-17.460575
/home/put_data/moth/data/whole_crop/M13-20140429-083.png,20.572449,46.498695
/home/put_data/moth/data/whole_crop/V28-20160313-024.png,-41.25778,-33.438698
/home/put_data/moth/data/whole_crop/V23-20150811-032.png,-40.290543,-36.136276
/home/put_data/moth/data/whole_crop/A46-20150513-112.png,-0.75442225,-36.880913
/home/put_data/moth/data/whole_crop/V03-20141027-022.png,-1.4314945,47.50322
/home/put_data/moth/data/whole_crop/V04-20140530-245.png,28.496546,52.677357
